Mods count: 297
 
                                           jar name                                             |    notes     |                mod id                |                                   mod name                                   |       mod version        |                                                                                                                                                                                                                                  mixin configs                                                                                                                                                                                                                                  |              modrinth hash               | curseforge hash
------------------------------------------------------------------------------------------------+--------------+--------------------------------------+------------------------------------------------------------------------------+--------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.234 (modloader)                                                                   |              | neoforge                             | neoforge                                                                     | neoforge-21.1.234        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
addictives-3.1.7.jar                                                                            |              | addictives                           | Create: Addictives                                                           | 3.1.7                    | mixins.addictives.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | b122f8dc7be3c0eb5c4a72c7b3659b8052497091 | 3413040000     
amendments-neoforge-1.21-2.1.7.jar                                                              |              | amendments                           | Amendments                                                                   | 1.21-2.1.7               | amendments-common.mixins.json, amendments.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                           | 69b9a6243a1513f7e40780367c40d23a4d687439 | 3422409052     
ancientstructures-neoforge-1.21.1-0.1.1.jar                                                     |              | ancientstructures                    | Ancient Structures                                                           | 0.1.1                    | ancientstructures.neoforge.mixins.json, ancientstructures.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                           | c9f617fd1c603ba0af8b826dc039875f3c7a3865 | 4288358289     
animal_feeding_trough-1.1.2+1.21-neoforge.jar                                                   |              | animal_feeding_trough                | Animal Feeding Trough                                                        | 1.1.2                    | mixins.animal_feeding_trough.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 6c29bbeab4b2c174d9f66d6a3e9ef4e136705c5b | 703267775      
another_furniture-neoforge-4.0.2.jar                                                            |              | another_furniture                    | Another Furniture                                                            | 4.0.2                    | another_furniture.mixins.json, another_furniture.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                             | 9036bc4754f74287f94fbf0102ea0d47d394877d | 437611423      
Apotheosis-1.21.1-8.5.4.jar                                                                     |              | apotheosis                           | Apotheosis                                                                   | 8.5.4                    | apotheosis.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 24c28cdf26514148a92f7b8c620ec54a2cd2c9ca | 2047241094     
apotheosis_create-1.1.0-neoforge-1.21.1.jar                                                     | MCreator mod | apotheosis_create                    | Apotheosis Create                                                            | 1.1.0                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 067c044bb55ea19ae7f85ffb04e9a66adb4780e8 | 500147755      
appleskin-neoforge-mc1.21-3.0.9.jar                                                             |              | appleskin                            | AppleSkin                                                                    | 3.0.9+mc1.21             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 81cf0e668f991f83ac8820c386fbd6c9c3602246 | 3551532297     
architectury-13.0.8-neoforge.jar                                                                |              | architectury                         | Architectury                                                                 | 13.0.8                   | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                       | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
